filename,file_path,size_mb,file_type,num_pages,release_date
Supplemental-Index-12-22-21.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_22122021/Supplemental-Index-12-22-21.pdf,1.94,pdf,17.0,22122021
125742_S2_M5_54_ezeanolue-e-2019.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/125742_S2_M5_54_ezeanolue-e-2019.pdf,39.71,pdf,195.0,01082022
FDA-CBER-2021-5683-0396196_125742_S1_M5_bnt162-01-S-D-supppe.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396196_125742_S1_M5_bnt162-01-S-D-supppe.xpt,0.01,xpt,,01082022
FDA-CBER-2021-5683-0396193 to -0396194_125742_S1_M5_c4591001-S-D-supppe.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396193 to -0396194_125742_S1_M5_c4591001-S-D-supppe.xpt,0.01,xpt,,01082022
FDA-CBER-2021-5683-0396187_125742_S1_M5_c4591001-S-D-pr.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396187_125742_S1_M5_c4591001-S-D-pr.xpt,0.02,xpt,,01082022
FDA-CBER-2021-5683-0396188 to -0396192_125742_S1_M5_c4591001-S-D-suppmo.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396188 to -0396192_125742_S1_M5_c4591001-S-D-suppmo.xpt,0.06,xpt,,01082022
FDA-CBER-2021-5683-0308157 to -0396186_125742_S1_M5_c4591001-S-D-suppface.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0308157 to -0396186_125742_S1_M5_c4591001-S-D-suppface.xpt,466.78,xpt,,01082022
FDA-CBER-2021-5683-0396197_125742_S1_M5_bnt162-01-S-D-supprp.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396197_125742_S1_M5_bnt162-01-S-D-supprp.xpt,0.0,xpt,,01082022
FDA-CBER-2021-5683-0396198_125742_S1_M5_bnt162-01-S-D-te.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396198_125742_S1_M5_bnt162-01-S-D-te.xpt,0.01,xpt,,01082022
FDA-CBER-2021-5683-0396195_125742_S1_M5_bnt162-01-S-D-relrec.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396195_125742_S1_M5_bnt162-01-S-D-relrec.xpt,0.0,xpt,,01082022
FDA-CBER-2021-5683-0396199_125742_S1_M5_bnt162-01-S-D-tv.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01082022/FDA-CBER-2021-5683-0396199_125742_S1_M5_bnt162-01-S-D-tv.xpt,0.0,xpt,,01082022
FDA-CBER-2021-5683-0396228-0396233_125742_S1_M5_bnt162-01-S-D-rp.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396228-0396233_125742_S1_M5_bnt162-01-S-D-rp.xpt,0.06,xpt,,01092022
FDA-CBER-2021-5683-0396239-0396241_125742_S1_M5_bnt162-01-S-D-suppeg.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396239-0396241_125742_S1_M5_bnt162-01-S-D-suppeg.xpt,0.01,xpt,,01092022
FDA-CBER-2021-5683-0396249-0396254_125742_S1_M5_bnt162-01-S-D-xb.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396249-0396254_125742_S1_M5_bnt162-01-S-D-xb.xpt,0.04,xpt,,01092022
FDA-CBER-2021-5683-0396242-0396246_125742_S1_M5_bnt162-01-S-D-suppxa.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396242-0396246_125742_S1_M5_bnt162-01-S-D-suppxa.xpt,0.02,xpt,,01092022
FDA-CBER-2021-5683-0396255-0484341_125742_S1_M5_c4591001-S-Supp-D-suppface.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396255-0484341_125742_S1_M5_c4591001-S-Supp-D-suppface.xpt,467.08,xpt,,01092022
FDA-CBER-2021-5683-0396247-0396248_125742_S1_M5_bnt162-01-S-D-ta.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396247-0396248_125742_S1_M5_bnt162-01-S-D-ta.xpt,0.02,xpt,,01092022
FDA-CBER-2021-5683-0396234-0396238_125742_S1_M5_bnt162-01-S-D-suppdv.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396234-0396238_125742_S1_M5_bnt162-01-S-D-suppdv.xpt,0.05,xpt,,01092022
FDA-CBER-2021-5683-0396200-0396213_125742_S1_M5_bnt162-01-A-D-adae.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396200-0396213_125742_S1_M5_bnt162-01-A-D-adae.xpt,0.79,xpt,,01092022
FDA-CBER-2021-5683-0396223-0396227_125742_S1_M5_bnt162-01-S-D-dv.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396223-0396227_125742_S1_M5_bnt162-01-S-D-dv.xpt,0.07,xpt,,01092022
FDA-CBER-2021-5683-0396214-0396222_125742_S1_M5_bnt162-01-S-D-cm.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01092022/FDA-CBER-2021-5683-0396214-0396222_125742_S1_M5_bnt162-01-S-D-cm.xpt,0.2,xpt,,01092022
CRFs-for-site-1128.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_13012022/CRFs-for-site-1128.pdf,13.55,pdf,3452.0,13012022
Pages-42-289-Section-5.2-listing-clinical-sites-cvs_Part-B.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01122021/Pages-42-289-Section-5.2-listing-clinical-sites-cvs_Part-B.pdf,13.78,pdf,124.0,01122021
Pages-42-289-Section-5.2-listing-clinical-sites-cvs_Part-A.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_01122021/Pages-42-289-Section-5.2-listing-clinical-sites-cvs_Part-A.pdf,12.29,pdf,124.0,01122021
CRFs-for-site-1081.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_30122021/CRFs-for-site-1081.pdf,13.2,pdf,3380.0,30122021
125742_S1_M1_priority-review-request.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_24032022/125742_S1_M1_priority-review-request.pdf,2.37,pdf,17.0,24032022
FDA-CBER-2021-5683-0058316 to -0058458_125742_S1_M5_c4591001-A-Supp-define.xml,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/FDA-CBER-2021-5683-0058316 to -0058458_125742_S1_M5_c4591001-A-Supp-define.xml,0.68,xml,,02052022
FDA-CBER-2021-5683-0059000 to -0065773_125742_S1_M5_c4591001-A-D-adcevd.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/FDA-CBER-2021-5683-0059000 to -0065773_125742_S1_M5_c4591001-A-D-adcevd.xpt,394.37,xpt,,02052022
FDA-CBER-2021-5683-0123168 to -0126026_125742_S1_M5_c4591001-A-D-adva.xpt,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/FDA-CBER-2021-5683-0123168 to -0126026_125742_S1_M5_c4591001-A-D-adva.xpt,162.85,xpt,,02052022
125742_S1_M5_5351_bnt162-01-interim3-compliance.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_5351_bnt162-01-interim3-compliance.pdf,7.44,pdf,484.0,02052022
125742_S1_M5_5351_c4591001-interim-mth6-sponsor-signature.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_5351_c4591001-interim-mth6-sponsor-signature.pdf,11.95,pdf,3.0,02052022
125742_S1_M5_CRF_c4591001-1006-10061020.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_CRF_c4591001-1006-10061020.pdf,1.52,pdf,187.0,02052022
125742_S1_M5_CRF_c4591001-1001-10011100.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_CRF_c4591001-1001-10011100.pdf,2.13,pdf,313.0,02052022
125742_S1_M5_CRF_c4591001-1003-10031197.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_CRF_c4591001-1003-10031197.pdf,1.48,pdf,170.0,02052022
125742_S1_M5_bnt162-01-S-csdrg.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_bnt162-01-S-csdrg.pdf,1.2,pdf,73.0,02052022
125742_S1_M5_5351_bnt162-01-interim3-sap.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_5351_bnt162-01-interim3-sap.pdf,2.91,pdf,35.0,02052022
125742_S1_M5_5351_bnt162-01-interim3-invest-signature.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_5351_bnt162-01-interim3-invest-signature.pdf,0.62,pdf,1.0,02052022
125742_S1_M5_CRF_c4591001-1003-10031186.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_CRF_c4591001-1003-10031186.pdf,2.42,pdf,473.0,02052022
125742_S1_M5_5351_bnt162-01-interim3-notes-for-reader.pdf,/Users/arihantchoudhary/GitHub/Klarity/uploads/Pfizer/Rel_02052022/125742_S1_M5_5351_bnt162-01-interim3-notes-for-reader.pdf,1.21,pdf,3.0,02052022
